model,seed,fold,n_train,n_test,roc_auc,average_precision,accuracy
fcfp,11,3,1622,406,0.8840389784946237,0.9398870953876932,0.8620689655172413
fcfp,11,4,1623,405,0.9197792869269948,0.9667049671614404,0.8814814814814815
fcfp,11,5,1623,405,0.9344991511035652,0.9713576495658948,0.8938271604938272
fcfp,17,1,1622,406,0.8984938229818921,0.9622488247003432,0.8645320197044335
fcfp,17,2,1622,406,0.9195060483870968,0.9670235115836124,0.8669950738916257
fcfp,17,3,1622,406,0.9061323924731184,0.9628337316339118,0.8669950738916257
fcfp,17,4,1623,405,0.9219354838709676,0.9648851110733506,0.8765432098765432
fcfp,17,5,1623,405,0.9415959252971138,0.973692637137704,0.8987654320987655
fcfp,23,1,1622,406,0.9115755627009646,0.9649002824376428,0.8497536945812808
fcfp,23,2,1622,406,0.9184811827956988,0.9633793860094706,0.8940886699507389
fcfp,23,3,1622,406,0.8984206989247311,0.9564622531750684,0.8694581280788177
fcfp,23,4,1623,405,0.9305942275042444,0.9684567799621716,0.8740740740740741
fcfp,23,5,1623,405,0.9025636672325976,0.9605338415645104,0.8938271604938272
